t,requested_action,executed_action,cooldown_blocked
296,0,0,False
297,0,0,False
298,0,0,False
299,0,0,False
300,0,0,False
301,0,0,False
302,0,0,False
303,0,0,False
304,0,0,False
305,0,0,False
306,0,0,False
307,0,0,False
308,0,0,False
309,0,0,False
310,0,0,False
311,0,0,False
312,0,0,False
313,0,0,False
314,0,0,False
315,0,0,False
316,0,0,False
317,0,0,False
318,0,0,False
319,0,0,False
320,0,0,False
321,0,0,False
322,0,0,False
323,0,0,False
324,0,0,False
325,0,0,False
326,0,0,False
327,0,0,False
328,0,0,False
329,0,0,False
330,0,0,False
331,0,0,False
332,0,0,False
333,0,0,False
334,0,0,False
335,0,0,False
336,0,0,False
337,0,0,False
338,0,0,False
339,0,0,False
340,0,0,False
341,1,1,False
342,1,1,False
343,1,1,False
344,1,1,False
345,1,1,False
346,1,1,False
347,1,1,False
348,1,1,False
349,1,1,False
350,1,1,False
351,1,1,False
352,1,1,False
353,1,1,False
354,1,1,False
355,1,1,False
356,1,1,False
357,1,1,False
358,1,1,False
359,1,1,False
360,1,1,False
361,1,1,False
362,1,1,False
363,1,1,False
364,1,1,False
365,2,2,False
366,2,2,False
367,2,2,False
368,2,2,False
369,0,0,False
370,0,0,False
371,0,0,False
372,0,0,False
373,0,0,False
374,2,2,False
375,2,2,False
376,2,2,False
377,2,2,False
378,2,2,False
379,2,2,False
380,2,2,False
381,2,2,False
382,2,2,False
383,2,2,False
384,2,2,False
385,2,2,False
386,2,2,False
387,2,2,False
388,0,0,False
389,0,0,False
390,0,0,False
391,0,0,False
392,0,0,False
393,2,2,False
394,2,2,False
395,2,2,False
396,2,2,False
397,2,2,False
398,2,2,False
399,2,2,False
400,2,2,False
401,2,2,False
402,0,0,False
403,0,0,False
404,0,0,False
405,0,0,False
406,0,0,False
407,0,0,False
408,0,0,False
409,0,0,False
410,0,0,False
411,0,0,False
412,0,0,False
413,0,0,False
414,0,0,False
415,0,0,False
416,0,0,False
417,0,0,False
418,0,0,False
419,0,0,False
420,0,0,False
421,0,0,False
422,0,0,False
423,0,0,False
424,0,0,False
425,0,0,False
426,0,0,False
427,0,0,False
428,0,0,False
429,0,0,False
430,0,0,False
431,0,0,False
432,0,0,False
433,0,0,False
434,0,0,False
435,0,0,False
436,0,0,False
437,0,0,False
438,1,1,False
439,1,1,False
440,1,1,False
441,1,1,False
442,1,1,False
443,1,1,False
444,1,1,False
445,1,1,False
446,2,2,False
447,2,2,False
448,2,2,False
449,2,2,False
450,2,2,False
451,2,2,False
452,2,2,False
453,2,2,False
454,2,2,False
455,2,2,False
456,2,2,False
457,2,2,False
458,2,2,False
459,1,1,False
460,1,1,False
461,1,1,False
462,1,1,False
463,2,2,False
464,2,2,False
465,2,2,False
466,2,2,False
467,2,2,False
468,2,2,False
469,2,2,False
470,2,2,False
471,2,2,False
472,2,2,False
473,2,2,False
474,2,2,False
475,2,2,False
476,2,2,False
477,2,2,False
478,2,2,False
479,2,2,False
480,2,2,False
481,2,2,False
482,2,2,False
483,2,2,False
484,2,2,False
485,0,0,False
486,0,0,False
487,0,0,False
488,0,0,False
489,0,0,False
490,2,2,False
491,2,2,False
492,2,2,False
493,2,2,False
494,2,2,False
495,2,2,False
496,2,2,False
497,2,2,False
498,2,2,False
499,2,2,False
500,2,2,False
501,2,2,False
502,0,0,False
503,0,0,False
504,0,0,False
505,0,0,False
506,0,0,False
507,0,0,False
508,0,0,False
509,0,0,False
510,0,0,False
511,0,0,False
512,0,0,False
513,0,0,False
514,0,0,False
515,0,0,False
516,0,0,False
517,0,0,False
518,0,0,False
519,0,0,False
520,0,0,False
521,0,0,False
522,0,0,False
523,2,2,False
524,2,2,False
525,2,2,False
526,2,2,False
527,2,2,False
528,2,2,False
529,2,2,False
530,0,0,False
531,0,0,False
532,0,0,False
533,0,0,False
534,1,1,False
535,1,1,False
536,1,1,False
537,1,1,False
538,1,1,False
539,1,1,False
540,1,1,False
541,1,1,False
542,1,1,False
543,1,1,False
544,1,1,False
545,1,1,False
546,1,1,False
547,2,2,False
548,2,2,False
549,2,2,False
550,2,2,False
551,2,2,False
552,2,2,False
553,2,2,False
554,2,2,False
555,2,2,False
556,1,1,False
557,1,1,False
558,1,1,False
559,1,1,False
560,1,1,False
561,1,1,False
562,1,1,False
563,1,1,False
564,1,1,False
565,2,2,False
566,2,2,False
567,2,2,False
568,2,2,False
569,2,2,False
570,2,2,False
571,2,2,False
572,2,2,False
573,2,2,False
574,2,2,False
575,2,2,False
576,2,2,False
577,2,2,False
578,2,2,False
579,2,2,False
580,2,2,False
581,2,2,False
582,2,2,False
583,2,2,False
584,2,2,False
585,2,2,False
586,2,2,False
587,0,0,False
588,0,0,False
589,0,0,False
590,0,0,False
591,2,2,False
592,2,2,False
593,2,2,False
594,2,2,False
595,0,0,False
596,0,0,False
597,0,0,False
598,0,0,False
599,2,2,False
600,2,2,False
601,2,2,False
602,2,2,False
603,0,0,False
604,0,0,False
605,0,0,False
606,0,0,False
607,2,2,False
608,2,2,False
609,2,2,False
610,2,2,False
611,0,0,False
612,0,0,False
613,0,0,False
614,0,0,False
615,0,0,False
616,0,0,False
617,0,0,False
618,0,0,False
619,0,0,False
620,0,0,False
621,0,0,False
622,0,0,False
623,0,0,False
624,0,0,False
625,0,0,False
626,0,0,False
627,0,0,False
628,0,0,False
629,0,0,False
630,1,1,False
631,1,1,False
632,1,1,False
633,1,1,False
634,1,1,False
635,1,1,False
636,1,1,False
637,1,1,False
638,1,1,False
639,1,1,False
640,2,2,False
641,2,2,False
642,2,2,False
643,2,2,False
644,2,2,False
645,2,2,False
646,2,2,False
647,2,2,False
648,2,2,False
649,2,2,False
650,2,2,False
651,2,2,False
652,2,2,False
653,2,2,False
654,2,2,False
655,2,2,False
656,1,1,False
657,1,1,False
658,1,1,False
659,1,1,False
660,1,1,False
661,1,1,False
662,1,1,False
663,2,2,False
664,2,2,False
665,2,2,False
666,2,2,False
667,2,2,False
668,2,2,False
669,2,2,False
670,2,2,False
671,2,2,False
672,2,2,False
673,2,2,False
674,2,2,False
675,2,2,False
676,2,2,False
677,2,2,False
678,2,2,False
679,2,2,False
680,2,2,False
681,2,2,False
682,2,2,False
683,2,2,False
684,2,2,False
685,2,2,False
686,2,2,False
687,2,2,False
688,2,2,False
689,2,2,False
690,0,0,False
691,0,0,False
692,0,0,False
693,0,0,False
694,2,2,False
695,2,2,False
696,2,2,False
697,2,2,False
698,2,2,False
699,2,2,False
700,2,2,False
701,2,2,False
702,2,2,False
703,2,2,False
704,2,2,False
705,2,2,False
706,2,2,False
707,2,2,False
708,0,0,False
709,0,0,False
710,0,0,False
711,0,0,False
712,0,0,False
713,0,0,False
714,0,0,False
715,0,0,False
716,2,2,False
717,2,2,False
718,2,2,False
719,2,2,False
720,2,2,False
